CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0116/2022,26.201.009380.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0002-62 - EDILBERTO NUNES PEREIRA,SERVIÇO ESPECIALIZADO,"47.284,85",4.316 CONTRATOS,"7.765.015.650,79"
0119/2022,31.202.003542.2022,28/12/2022,28/12/2023,12,SUPLAN - 31.0201,08.680.639/0001-77 - SAÚDE OCUPACIONAL UNIMED JOÃO PESSOA,OUTROS SERVIÇOS ESPECIALIZADOS,"44.364,24",4.316 CONTRATOS,"7.765.015.650,79"
0123/2022,26.201.009937.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,08.215.596/0003-10 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO LTDA,SERVIÇO ESPECIALIZADO,"33.145,25",4.316 CONTRATOS,"7.765.015.650,79"
0127/2022,26.201.009082.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,02.809.413/0002-28 - CENTRO DE FORMAÇÃO DE CONDUTORES BOM JESUS,SERVIÇO ESPECIALIZADO,"38.011,30",4.316 CONTRATOS,"7.765.015.650,79"
0128/2022,26.201.009089.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,35.417.906/0001-90 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA SANTO ANDRÉ,SERVIÇO ESPECIALIZADO,"56.558,40",4.316 CONTRATOS,"7.765.015.650,79"
0132/2022,26.201.009390.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,07.395.570/0001-77 - CENTRO DE FORMAÇÃO DE CONDUTORES NOSSA SENHORA  DO PERPETUO SOCORRO LTDA,SERVIÇO ESPECIALIZADO,"95.486,80",4.316 CONTRATOS,"7.765.015.650,79"
0139/2022,26.201.010352.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,01.404.575/0001-32 - JOSE CAMILO DA COSTA NETO(CENTRO DE FORMAÇÃO DE CONDUTORES POTIGUAR),SERVIÇO ESPECIALIZADO,"94.365,77",4.316 CONTRATOS,"7.765.015.650,79"
0140/2022,26.201.007918.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,97.550.948/0001-52 - PSICOCLIN CLINICA DE PSICOLOGIA LTDA,SERVIÇO ESPECIALIZADO,"12.173,04",4.316 CONTRATOS,"7.765.015.650,79"
0141/2022,26.201.009352.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,09.324.110/0001-83 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA SANTO EXPEDITO LTDA,SERVIÇO ESPECIALIZADO,"78.244,15",4.316 CONTRATOS,"7.765.015.650,79"
0145/2022,26.201.010699.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,09.141.603/0001-88 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO NOVA OLINDA LTDA,SERVIÇO ESPECIALIZADO,"63.829,42",4.316 CONTRATOS,"7.765.015.650,79"
0146/2022,26.201.010365.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,06.913.579/0001-60 - AUTO ESCOLA SANTO ANTONIO LTDA,SERVIÇO ESPECIALIZADO,"71.615,10",4.316 CONTRATOS,"7.765.015.650,79"
0147/2022,26.201.009437.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0004-24 - AUTO ESCOLA NOSSA SENHORA DO PERPETUO SOCORRO,SERVIÇO ESPECIALIZADO,"47.284,85",4.316 CONTRATOS,"7.765.015.650,79"
0150/2022,26.201.009388.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0003-43 - AUTO ESCOLA NOSSA SENHORA DO PERPETUO SOCORRO,SERVIÇO ESPECIALIZADO,"44.640,35",4.316 CONTRATOS,"7.765.015.650,79"
0151/2022,26.201.010419.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,21.515.014/0001-18 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA DO VALE MAMANGUAPE (SÃO GABRIEL),SERVIÇO ESPECIALIZADO,"61.883,00",4.316 CONTRATOS,"7.765.015.650,79"
0158/2022,26.201.003466.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,43.849.599/0001-45 - ESPACO INTEGRADO DE SAUDE LTDA ,SERVIÇO ESPECIALIZADO,"24.346,08",4.316 CONTRATOS,"7.765.015.650,79"
0164/2022,26.201.009939.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,08.215.596/0002-30 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO LTDA,SERVIÇO ESPECIALIZADO,"39.774,30",4.316 CONTRATOS,"7.765.015.650,79"
0166/2022,26.201.009934.2022,29/12/2022,29/12/2023,12,DETRAN - 26.0101,08.215.596/0001-59 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO - LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"33.145,25",4.316 CONTRATOS,"7.765.015.650,79"
0225/2022,25.203.009477.2022R1,29/12/2022,27/06/2023,6,MFD- 25.0301,04.427.309/0001-13 - ALERTA SERVIÇOS EIRELI-ME,SERVIÇO ESPECIALIZADO,"1.472.743,32",4.316 CONTRATOS,"7.765.015.650,79"
1-19/2022,31.903.002202.2022,29/12/2022,29/12/2026,48,SEIRH - 31.0001,48.912.892/0001-23 - CONSÓRCIO TYPSA-ENGECORPS-FUTURE ATP EFFICO,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"19.482.572,94",4.316 CONTRATOS,"7.765.015.650,79"
0004/2022,,27/12/2022,27/12/2023,12,SEAFDS - 16.0001,92.559.830/0001-71 - GREENCARD REFEIÇOES COMÉRCIO E SERVIÇOS ,SERVIÇO ESPECIALIZADO,"192.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0025/2022,29.204.000338.2022,26/12/2022,26/06/2023,6,EPC - 29.0401,41.185.345/0001-44 - BUD CRUZ EIRELLI,MATERIAL DE USO ESPECÍFICO,"91.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0072/2022,,27/12/2022,02/10/2023,10,SEE - 22.0001,06.020.318/0001-10 - VOLKSWAGEN TRUCK & BUS INDUSTRIA E COMERCIO DE VEICULOS LTDA,AQUISIÇÃO DE VEÍCULOS,"16.600.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0073/2022,,27/12/2022,03/10/2023,10,SEE - 22.0001,30.314.561/0006-30 - CIFERAL INDÚSTRIA DE ÔNIBUS LTDA,AQUISIÇÃO DE VEÍCULOS,"29.100.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0093/2022,26.000.000457.2022,27/12/2022,24/10/2023,10,SEDS - 26.0001,15.027.866/0001-63 - EMPRESA FATHY ARQUITETURA E INTERIORES LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"315.081,24",4.316 CONTRATOS,"7.765.015.650,79"
0106/2022,31.205.010283.2022,26/12/2022,31/12/2022,0,SUDEMA - 34.0101,07.315.353/0001-20 - EDUARDO LIMA DANTAS- ME,AQUISIÇÃO DE BENS IMÓVEIS,"23.500,00",4.316 CONTRATOS,"7.765.015.650,79"
0112/2022,26.201.008937.2022,27/12/2022,26/12/2023,12,DETRAN - 26.0101,02.840.019/0001-71 - CENTRO DE FORMAÇÃO DE CONDUTORES DINÂMICA LTDA,SERVIÇO ESPECIALIZADO,"69.668,68",4.316 CONTRATOS,"7.765.015.650,79"
0113/2022,26.201.009938.2022,26/12/2022,25/12/2023,12,DETRAN - 26.0101,01.217.552/0004-61 - GUTIEN RUBENS BATISTA DE ALMEIDA(CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL,SERVIÇO ESPECIALIZADO,"54.097,32",4.316 CONTRATOS,"7.765.015.650,79"
0115/2022,26.201.009032.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,01.217.552/0002-08 - GUTIEN RUBENS BATISTA ALMEIDA - CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL ,OUTROS SERVIÇOS ESPECIALIZADOS,"54.097,32",4.316 CONTRATOS,"7.765.015.650,79"
0125/2022,26.201.009030.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,01.217.552/0001-19 - GUTIEN RUBENS BATISTA ALMEIDA - CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL ,OUTROS SERVIÇOS ESPECIALIZADOS,"59.936,58",4.316 CONTRATOS,"7.765.015.650,79"
0129/2022,26.201.009595.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,03.716.996/0001-24 - CENTRO DE FORMAÇÃO DE CONDUTORES TALLENTUS - LTDA - JAGUARIBE,OUTROS SERVIÇOS ESPECIALIZADOS,"51.452,82",4.316 CONTRATOS,"7.765.015.650,79"
0135/2022,26.201.014797.2022,27/12/2022,27/12/2023,12,DETRAN - 26.0101,41.482.508/0001-50 - AIDA CINTIA MENDES DE AZEVEDO - PSICOLOGA CINTIA AZEVEDO,OUTROS SERVIÇOS ESPECIALIZADOS,"36.519,12",4.316 CONTRATOS,"7.765.015.650,79"
0160/2022,26.201.017405.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.043.027/0001-20 - ALL MED SERVIÇOS MÉDICOS LTDA,SERVIÇO ESPECIALIZADO,"73.038,24",4.316 CONTRATOS,"7.765.015.650,79"
0161/2022,26.201.009080.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,06.980.321/0001-86 - MARIA DAS NEVES DE SOUZA LIMA CONDUTORES,SERVIÇO ESPECIALIZADO,"95.486,80",4.316 CONTRATOS,"7.765.015.650,79"
0162/2022,26.201.016890.2022,28/12/2022,27/12/2027,60,DETRAN - 26.0101,069.861.024-53 - ADERALDO MATIAS DE OLIVEIRA,LOCAÇÃO DE BENS IMÓVEIS,"55.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0167/2022,26.201.008875.2022,27/12/2022,27/12/2023,12,DETRAN - 26.0101,38.543.972/0001-03 - BREJO SERVIÇO DE VISTORIA VEICULAR LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,,4.316 CONTRATOS,"7.765.015.650,79"
0222/2022,31.206.039838.2022,28/12/2022,28/12/2027,60,CAGEPA - 31.0601,237.846.794-04 - JOSE MARIO PORTO JUNIOR,LOCAÇÃO DE IMÓVEL URBANO,"900.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0513/2022,19.000.002999.2021,27/12/2022,30/12/2022,0,FUNESC - 33.0101,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"61.069,00",4.316 CONTRATOS,"7.765.015.650,79"
0839/2022,19.000.000682.2021,27/12/2022,27/03/2023,3,SEDH - 27.0001,19.918.905/0001-73 - THOMAS JOSÉ BELTRÃO DE ARAÚJO ALBUQUERQUE,MATERIAL PERMANENTE,"33.912,00",4.316 CONTRATOS,"7.765.015.650,79"
0888/2022,27.000.003262.2022,27/12/2022,28/04/2023,4,SEDH - 27.0001,11.118.769/0001-25 - BRILT COMÉRCIO E SERVIÇOS LTDA,MATERIAL PERMANENTE,"22.666,00",4.316 CONTRATOS,"7.765.015.650,79"
0006/2022,,22/12/2022,21/12/2023,12,CGE - 11.0001 ,144.788.474-44 - NÉLIDA ORQUÍDIA FRAZÃO FERREIRA,BOLSISTA,"14.544,00",4.316 CONTRATOS,"7.765.015.650,79"
0019/2022,21.901.000212.2022,21/12/2022,21/12/2027,60,EMPREENDER - 77.0001,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS DA  PARAIBA - CODATA,SERVIÇO ESPECIALIZADO,"342.900,00",4.316 CONTRATOS,"7.765.015.650,79"
0024/2022,29.204.000338.2022,21/12/2022,26/09/2023,9,EPC - 29.0401,03.888.008/0001-24 - TECPEL IMPORTAÇÃO E DISTRIBUIÇÃO DE PAPEIS LTDA,MATERIAL DE USO ESPECÍFICO,"1.100.376,00",4.316 CONTRATOS,"7.765.015.650,79"
0056/2022,19.000.003317.2020,22/12/2022,22/12/2023,12,FUNDAC - 27.0101,27.183.604/0001-77 - TECBOL LTDA,MATERIAL ESPORTIVO,"26.602,80",4.316 CONTRATOS,"7.765.015.650,79"
0057/2022,19.000.033320.2019,23/12/2022,19/09/2023,9,SEE - 22.0001,06.198.597/0001-07 - APFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA,AQUISIÇÃO DE BENS MÓVEIS,"3.000.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0062/2022,19.000.010622.2021,22/12/2022,18/09/2023,9,SEE - 22.0001,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,AQUISIÇÃO DE BENS MÓVEIS,"33.159.510,60",4.316 CONTRATOS,"7.765.015.650,79"
0094/2022,26.000.000160.2022,21/12/2022,19/06/2023,6,SEDS - 26.0001,34.071.766/0001-89 - CONSTRUTEC CONSTRUCOES E SERVICOS LTDA,OBRAS DE AMPLIAÇÃO E CONSERVAÇÃO,"104.989,03",4.316 CONTRATOS,"7.765.015.650,79"
0156/2022,26.201.05812.2022,22/12/2022,22/12/2023,12,DETRAN - 26.0101,42.875.490/0001-10 - EMPRESA PARAIBANA DE COMUNICAÇÃO - EPC,OUTROS SERVIÇOS ESPECIALIZADOS,"100.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0198/2022,25.215.000043.2022,22/12/2022,31/12/2022,0,HEETSHL - 25.1501,07.160.019/0001-44 - VITALE COMÉRCIO S.A.,GÊNEROS ALIMENTÍCIOS / HOSPITAIS,"290.248,00",4.316 CONTRATOS,"7.765.015.650,79"
0212/2022,25.215.000118.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,08.778.201/0001-26 - DROGAFONTE LTDA,MEDICAMENTOS,"979,00",4.316 CONTRATOS,"7.765.015.650,79"
0214/2022,25.215.000118.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,60.665.981/0009-75 - UNIAO QUIMICA FARMACEUTICA NACIONAL S A,MEDICAMENTOS,"1.870,00",4.316 CONTRATOS,"7.765.015.650,79"
0217/2022,19.000.007988.2021,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,10.795.950/0001-03 - LANCELLETE BIOMEDICAL LTDA,MATERIAL MÉDICO-HOSPITALAR,"58.900,00",4.316 CONTRATOS,"7.765.015.650,79"
0220/2022,19.000.004219.2021,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,30.397.976/0001-00 - LL COMÉRCIO DE ALIMENTOS LTDA,GÊNEROS ALIMENTÍCIOS,"172.420,58",4.316 CONTRATOS,"7.765.015.650,79"
0223/2022,25.215.000145.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,02.368.789/0001-63 - INDUSTRIA DE POLPAS NATURAL SABOR - EIRELI,GÊNEROS ALIMENTÍCIOS / HOSPITAIS,"18.802,20",4.316 CONTRATOS,"7.765.015.650,79"
0254/2022,31.206.014430.2022,26/12/2022,26/12/2023,12,CAGEPA - 31.0601,02.064.150/0004-37 - TAF INDUSTRIA DE PLASTICOS LTDA,MATERIAL DE USO ESPECÍFICO,"866.350,00",4.316 CONTRATOS,"7.765.015.650,79"
0429/2022,25.000.003555.2022,23/12/2022,20/06/2023,6,SES - 25.0001,29.521.159/0001-33 - HOSPITAL MILAGRES SERVIÇOS DE SAÚDE EIRELI,SERVIÇO DE SAÚDE,"135.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0432/2022,22.204.000205.2022,23/12/2022,31/12/2022,0,UEPB - 35.0401,47.010.566/0001-68 - TECNAL IND. COM. IMP. E EXP. DE EQUIP. P/ LAB.LTDA,MATERIAL PERMANENTE,"767.215,44",4.316 CONTRATOS,"7.765.015.650,79"
0435/2022,25.000.000988.2022,22/12/2022,18/06/2023,6,SES - 25.0001,33.765.573/0001-65 - HOME CARE E CLINICA JK - PRESTAÇÃO DE SERVIÇOS,SERVIÇO ESPECIALIZADO,"108.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0815/2022,19.000.003664.2020,26/12/2022,26/06/2023,6,SEDH - 27.0001,17.417.928/0001-79 - VENTISOL DA AMAZONIA INDÚSTRIA DE APARELHOS ELÉTRICOS LTDA,MATERIAL PERMANENTE,"61.814,00",4.316 CONTRATOS,"7.765.015.650,79"
0882/2022,27.000.006049.2022,23/12/2022,31/12/2022,0,SEDH - 27.0001,35.753.111/0001-53 - NORD PRODUTOS EM SAÚDE LTDA,MATERIAL DE USO ESPECÍFICO,"20.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0003/2022,19.000.016722.2021,20/12/2022,19/12/2023,12,PROCON - 09.0301,02.491.558/0001-42 - LOCALIZA VEÍCULOS ESPECIAIS S.A,LOCAÇÃO DE VEÍCULOS,"163.500,00",4.316 CONTRATOS,"7.765.015.650,79"
0035/2022,20.000.200569.2022,19/12/2022,18/12/2023,12,SEFAZ - 20.0001,90.400.888/0001-42 - BANCO SANTANDER (BRASIL) S.A.,SERVIÇO ESPECIALIZADO,"2.209.920,00",4.316 CONTRATOS,"7.765.015.650,79"
0038/2022,23.901.000107.2022,20/12/2022,31/12/2022,0,FUNESBOM - 57.0001 ,02.655.093/0002-07 - COUTOFLEX INDÚSTRIA DE MANGUEIRAS LTDA,MATERIAL DE CONSUMO,"49.113,60",4.316 CONTRATOS,"7.765.015.650,79"
0051/2022,38.000.000364.2022,19/12/2022,31/12/2022,0,PC - 38.0001,61.418.141/0001-13 - INDÚSTRIA GRÁFICA BRASILEIRA LTDA,MATERIAL DE USO ESPECÍFICO,"33.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0068/2022,19.000.033320.2019,20/12/2022,19/03/2023,3,SEE - 22.0001,26.273.355/0001-48 - JOAO L MARANGON,AQUISIÇÃO DE BENS MÓVEIS,"362.652,00",4.316 CONTRATOS,"7.765.015.650,79"
0069/2022,,20/12/2022,20/12/2023,12,SEE - 22.0001,11.837.115/0001-51 -  RBL TECNOLOGIA EDUCACIONAL LTDA,MATERIAL DE USO ESPECÍFICO,"48.588.734,58",4.316 CONTRATOS,"7.765.015.650,79"
0071/2022,19.000.033320.2019,20/12/2022,17/09/2023,9,SEE - 22.0001,08.706.350/0001-80 - INCOMEL - INDUSTRIA DE MOVEIS LTDA,AQUISIÇÃO DE BENS MÓVEIS,"8.115.028,00",4.316 CONTRATOS,"7.765.015.650,79"
0084/2022,30.000.000243.2022,19/12/2022,18/12/2023,12,SEAD - 19.0001,129.117.044-87 - ROBSON NERY DANTAS,LOCAÇÃO DE BENS IMÓVEIS,"72.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0105/2022,25.240.000154.2022,20/12/2022,31/12/2022,0,HCCG - 25.4201,17.227.485/0001-53 - LG PRODUTOS HOSPITALARES LTDA,MATERIAL MÉDICO-HOSPITALAR,"1.327.757,05",4.316 CONTRATOS,"7.765.015.650,79"
0122/2022,31.202.000716.2022,20/12/2022,20/12/2023,12,SUPLAN - 31.0201,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS - CODATA,OUTROS SERVIÇOS ESPECIALIZADOS,"41.032,30",4.316 CONTRATOS,"7.765.015.650,79"
0126/2022,26.201.008932.2022,21/12/2022,21/12/2023,12,DETRAN - 26.0101,08.611.665/0001-43 - MARCILIO ILDOSON DE LACERDA - AUTO ESCOLA LÍDER,OUTROS SERVIÇOS ESPECIALIZADOS,"47.284,85",4.316 CONTRATOS,"7.765.015.650,79"
0133/2022,26.201.018453.2022,21/12/2022,20/12/2027,60,DETRAN - 26.0101,141.443.014-00 -  ANTONIO JERONIMO DE ANDRADE MELO,LOCAÇÃO DE BENS IMÓVEIS,"60.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0139/2022,,19/12/2022,19/12/2027,60,SES - 25.0001,08.891.830/0001-68 - PREFEITURA MUNICIPAL DE SERRA GRANDE PB,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,4.316 CONTRATOS,"7.765.015.650,79"
0152/2022,26.201.014857.2022,20/12/2022,19/12/2023,12,DETRAN - 26.0101,33.624.038/0001-94 - REM-PB REMARCAÇÃO E GRAVAÇÃO DE CHASSI E MOTOR EIRELLI,SERVIÇO ESPECIALIZADO,,4.316 CONTRATOS,"7.765.015.650,79"
0153/2022,26.201.008499.2022,21/12/2022,20/12/2027,60,DETRAN - 26.0101,087.546.874-89 - KAYO STEFSON FIGUEIREDO ANDRADE,LOCAÇÃO DE BENS IMÓVEIS,"57.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0174/2022,,21/12/2022,21/03/2023,3,SEE - 22.0001,01.612.684/0001-45 - PREFEITURA DE SAO JOSE DE PRINCESA,DOAÇÕES,,4.316 CONTRATOS,"7.765.015.650,79"
0194/2022,25.215.000043.2022,19/12/2022,31/12/2022,0,HEETSHL - 25.1501,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRIÇÃO ENTERAL E PARENTERAL - CENEP LTDA,GÊNEROS ALIMENTÍCIOS / HOSPITAIS,"80.040,00",4.316 CONTRATOS,"7.765.015.650,79"
0208/2022,19.000.006207.2020,19/12/2022,31/12/2022,0,HEETSHL - 25.1501,18.202.203/0001-26 - SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA,MATERIAL DE LIMPEZA E EMBALAGEM,"10.630,00",4.316 CONTRATOS,"7.765.015.650,79"
0210/2022,19.000.002875.2020,19/12/2022,31/12/2022,0,HEETSHL - 25.1501,22.280.916/0001-85 - NORDESTE POTENCIAL COMERCIO E SERVIÇOS EIRELI,MATERIAL DE LIMPEZA E EMBALAGEM,"15.856,00",4.316 CONTRATOS,"7.765.015.650,79"
